,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
479,480,S.C. ELYTIS HOSPITAL HOPE S.R.L.,B069,Iasi,Neclasificat,general,privat,fara invatamant,"STR. PECHEA, NR. 8, SECT. 1, BUCURESTI",info@elytis-hospital.ro,www.elytis-hospital.ro,privat,-,Categoria III Acreditat cu rezerve,,,
480,481,SOCIETATEA POLIMED DACIA SRL,B070,Brasov,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"ALEXANDRU IOAN CUZA, NR 20, BRASOV",petregorgon@hotmail.com,www.polimed-dacia.ro,SC POLIMED DACIA SRL,-,Unitate aflata in proces de acreditare,,,
481,482,ENDO LIFE SRL,B071,Dolj,Neclasificat,specialitate,privat,fara invatamant,"Craiova, str. Maria Tanase, nr.11, Dolj",office@endolife.ro,https://endolife.ro,A.G.A,-,Categoria II Acreditat cu recomandari,,,
482,483,S.C. R.K.-MED S.R.L.,B072,Botosani,Neclasificat,specialitate,privat,fara invatamant,"BOTOSANI, CALEA NATIONALa, NR. 86, SC. B, ET. 4, AP. 7, 710052",office@rk-med.ro,www.rk-med.ro,SC R.K.-MED SRL,-,Categoria II Acreditat cu recomandari,,,
483,484,"SPITALUL DE BOLI CRONICE ""SFANTUL IOAN"" TARGU FRUMOS",B073,Iasi,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Str. Cuza Voda, nr. 67, orasTargu Frumos, jud. Iasi",office@spitaltargufrumos.ro,www.spitaltargufrumos.ro,UAT TARGU FRUMOS,-,Categoria II Acreditat cu recomandari,,,
484,485,SOCIETATEA LABORATOR MEDICAL BIOCONSULTING SRL,B074,Bihor,Neclasificat,general,privat,fara invatamant,"LOC.BRATCA, NR.309, JUD.BIHOR",bio_consulting@yahoo.ro,bio-consulting.ro,"SC""LABORATOR MEDICAL BIOCONSULTING""SRL",-,Categoria II Acreditat cu recomandari,,,
485,486,SOCIETATEA HIT-MED SRL,B076,Dolj,Neclasificat,specialitate,privat,fara invatamant,"Craiova, str Stefan cel Mare nr 23",hitmed@gmail.com,www.invitro.ro,SC HIT-MED SRL,-,Categoria II Acreditat cu recomandari,,,
486,487,CENTRUL MEDICAL MEDENA,B077,Bihor,Neclasificat,general,privat,fara invatamant,STR. ANTON BACALBAsA NR.2,clinica_medena@yahoo.com,www.clinicamedena.ro,Adunarea Generala a Asociatior,-,Categoria II Acreditat cu recomandari,,,
487,488,SPITALUL ORASENESC URLATI,B078,Prahova,IV,general,public,fara invatamant,"STR. 23 AUGUST, NR.9, URLATI, PRAHOVA",spital@spitalulurlati.ro,www.spitalulurlati.ro,ORASUL URLATI,-,Categoria II Acreditat cu recomandari,,,
488,489,RECARDIO SRL,B079,Cluj,Neclasificat,specialitate,privat,fara invatamant,"Motilor Nr 60 ( punct de lucru) - sediul fiscal : Str Eremia Grigoescu Nr.1 ,ap. 81 . Cluj-Napoca",cardiologie@recardio.ro,www.recardio.ro,RECARDIO,-,Categoria III Acreditat cu rezerve,,,
489,490,SOCIETATEA MNT HEALTHCARE EUROPE SRL,B080,Ilfov,Neclasificat,afectiuni cronice,privat,fara invatamant,SC MNT HEALTHCARE EUROPE SRL,office@neolife.ro,www.neolife.ro,PATRONATUL SC MNT HEALTHCARE EUROPE SRL,-,Categoria V Decizie de prelungire a procesului de acreditare,,,
490,491,"SPITALUL ""PROF. DR. CONSTANTIN ANGELESCU",B082,Bucuresti,IV,general,public,fara invatamant,"STR. APOLODOR NR. 17, SECTOR 5, BUCURESTI",spitalul_angelescu@yahoo.com,www.spitalulangelescu.ro,MINISTERUL JUSTITIEI,-,Categoria II Acreditat cu recomandari,,,
491,492,NUTRILIFE SRL,B083,Bucuresti,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"STR CONSTANTIN DOBROGEANU GHEREA NR 10-12, ETAJ 1 SI 2",info@nutrilife.ro,www.nutrilife.ro,SC NUTRILIFE SRL,-,Categoria II Acreditat cu recomandari,,,
492,493,SOCIETATEA NEW CENTRAL MED SRL,B084,Bacau,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"STR.BUCIUMULUI,NR.63A-65",newcentralmed@gmail.com,www.newcentralmed.ro,SC NEW CENTRAL MED SRL,-,Unitate aflata in proces de acreditare,,,
493,494,RTC RADIOLOGY THERAPEUTIC CENTER,B085,Ilfov,Neclasificat,specialitate,privat,fara invatamant,"STRADA OITELOR NR.7 AP. 1 BIROU 9, SECTOR 4",office.otopeni@amethyst-radiotherapy.ro,www.amethyst-radiotherapy.ro,RTC RADIOLOGY THERAPEUTIC CENTER,-,Categoria II Acreditat cu recomandari,,,
494,495,SOCIETATEA MEDICALTEST S.R.L.,B086,Bacau,Neclasificat,specialitate,privat,fara invatamant,N/A,medicaltestbacau@yahoo.com,www.medicaltest.ro,privat,-,Categoria VI Neacreditat,,,
495,496,OVERMED MEDICAL CENTER SRL,B087,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Strada Stefan Negulescu, Numarul 53, Sector 1, Bucuresti",office@overmed.ro,overmed.ro,Overmed Medical Center SRL,-,Categoria VI Neacreditat,,,
496,497,SOCIETATEA FOCUS LAB PLUS SRL,B088,Bucuresti,Neclasificat,general,privat,fara invatamant,"Str. Ferdinand I, nr.141, Sector 2 , Bucuresti",centrulmedicalfocus@yahoo.com,WWW.CENTRULMEDICALFOCUS.RO,SC FOCUS LAB PLUS SRL,-,Unitate aflata in proces de acreditare,,,
497,498,SOCIETATEA LAURUS MEDICAL SRL,B089,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Bulevardul Nicolae Caramfil nr 51,sector 1 Bucuresti",adriana.buica@laurusmedical.ro,www.laurusmedical.ro,SC LAURUS MEDICAL SRL,-,Categoria II Acreditat cu recomandari,,,
498,499,SOCIETATEA CABINET PARTICULAR POLICLINIC ALGOMED SRL,B090,Timis,Neclasificat,specialitate,privat,fara invatamant,"Str. ROMULUS, Nr. 62, Timisoara, Jud Timis",contact@algomed-timisoara.ro,www.algomed-timisoara.ro,privat,-,Categoria VI Neacreditat,,,
499,500,MEDICOVER SRL,B091,Bucuresti,Neclasificat,general,privat,fara invatamant,nu exista,office@medicover.ro,www.medicover.ro,privat,-,Unitate aflata in proces de acreditare,,,
500,501,SOCIETATEA AFFIDEA ROMANIA SRL,B092,Bucuresti,Neclasificat,general,privat,fara invatamant,"Strada Finlanda, nr 19, Sector1, Bucuresti",office@affidea.com,www.affidea.ro,AFFIDEA Romania SRL,-,Unitate aflata in proces de acreditare,,,
501,502,SOCIETATEA PRO LIFE CLINICS SRL,B095,Iasi,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"IASI. BLD. ALEXANDRU CEL BUN, NR.50",prolifeclinics@gmail.com,www.prolifeclinics.ro,SC PRO LIFE CLINICS SRL,-,Categoria V Decizie de prelungire a procesului de acreditare,,,
502,503,CENTRU MEDICAL DE RADIOTERAPIE SI CHIMIOTERAPIE ADULTI SI COPII,B097,Cluj,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Bucuresti, str. OItelor nr. 7 ap. 1",office.cluj@amethyst-radiotherapy.com,www.amethyst-radiotherapy.com,SC Radiotherapy Center Cluj SRL,-,Categoria II Acreditat cu recomandari,,,
503,504,S.C. CLINICA POLISANO S.R.L.,B098,Sibiu,IV,general,privat,fara invatamant,"BD. 1 MAI NR. 24, CRAIOVA,DOLJ, CP 200638",office@clinicapolisano.ro,www.clinicapolisano.ro,privat,-,Categoria II Acreditat cu recomandari,,,
504,505,KIO ENERGY SRL,B099,Alba,Neclasificat,specialitate,privat,fara invatamant,"Alba Iulia, str. Alexandru Ioan Cuza, nr.34",kioenergy@yahoo.ro,www.clinicata.ro,SC KIO ENERGY SRL,-,Categoria VI Neacreditat,,,
505,506,SPITALUL ORASENESC SFANTUL IERARH NICOLAE BICAZ,B100,Neamt,IV,general,public,fara invatamant,"Bicaz, Strada Barajului nr. 4",spitalbicaz@yahoo.ro,http://spitalbicaz.ro,CONSILIUL LOCAL al ORAsULUI BICAZ,-,Unitate aflata in proces de acreditare,,,
506,507,SOCIETATEA GASTROMOND SRL,B103,Constanta,Neclasificat,specialitate,privat,fara invatamant,"BUCURESTI, STR ION IONESCU DE LA BRAD, NR 5B",gastromond@gmail.com,https://www.reginamaria.ro/clinici/policlinica-gastromond,SC CENTRUL MEDICAL UNIREA SRL,-,Categoria II Acreditat cu recomandari,,,
507,508,SPITALUL DE REABILITARE MEDICALA BALNEOMEDCENTER,B105,Valcea,V,general,privat,fara invatamant,"Ramnicu Valcea, str.Ostroveni nr.142",administrativ@balneomedcenter.ro,www.balneomedcenter.ro,SC BALNEOMEDCENTER SA,-,Categoria II Acreditat cu recomandari,,,
508,509,MOGADORMED SRL,B106,Constanta,Neclasificat,specialitate,privat,fara invatamant,"STR. ADAMCLISI NR. 1C, localitatea Constanta, judetul Constanta",mogadormed@gmail.com,www.mrini.ro,SC MOGADORMED SRL,-,Unitate aflata in proces de acreditare,,,
509,510,SOCIETATEA CENTRUL DE DIAGNOSTIC SI TRATAMENT STAL SRL,B107,Constanta,Neclasificat,general,privat,fara invatamant,"Strada Garii, nr. 62, Pavilion Administrativ A, Constructia C9, Comuna Cogealac, Judetul Constanta",CENTRULSTAL@YAHOO.COM,WWW.CENTRULMEDICALCOGEALAC.RO,CENTRUL DE DIAGNOSTIC SI TRATAMENT STAL,-,Categoria II Acreditat cu recomandari,,,
510,511,SOCIETATEA HELP MED CONSULT SRL,B108,Constanta,Neclasificat,specialitate,privat,fara invatamant,STRADA PRIMARIEI NR 32D OVIDIU JUD CONSTANTA,helpmedconsult@gmail.com,www.helpmed-ovidiu.ro,HELP MED CONSULT SRL,-,Categoria II Acreditat cu recomandari,,,
511,512,S.C. TOP MEDICAL CRONIC S.R.L. - CENTRU DE INGRIJIRI PALIATIVE �SFANTUL LUCA�,B112,Suceava,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,sat VALEA LUPULUI com VALEA LUPULUI str Orientului nr 2A cam 1 parter jud Iasi,centrulsfluca@yahoo.ro,www.centrulsfluca.ro,SC TOP MEDICAL CRONIC SRL,-,Categoria II Acreditat cu recomandari,,,
512,513,SOCIETATEA CENTRUL DE ONCOLOGIE EUROCLINIC SRL,B113,Iasi,V,specialitate,privat,fara invatamant,UNITATE PRIVATA,secretariat@victoriahospital.ro,www.victoriahospital.ro,UNITATE PRIVATA,-,Categoria II Acreditat cu recomandari,,,
513,514,SOCIETATEA BROTAC MEDICAL CENTER SRL - PUNCT DE LUCRU OLTENITA,B114,Calarasi,Neclasificat,specialitate,privat,fara invatamant,"BLD TINERETULUI, NR 136 A, OLTENITA, CALARASI",oltenita@brotac.ro,www.brotac.ro,BROTAC MEDICAL CENTER,-,Unitate aflata in proces de acreditare,,,
514,515,SOCIETATEA CLINICA SANTE VIE SRL,B115,Brasov,Neclasificat,general,privat,fara invatamant,"Str.Brazilor nr.54, Brasov, jud.Brasov",clinica@santevie.ro,www.santevie.ro,SC CLINICA SANTE VIE SRL,-,Unitate aflata in proces de acreditare,,,
515,516,QUALITY COMPAS SRL,B117,Giurgiu,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"sos. Bucuresti nr.351, giurgiu, jud.giurgiu",contact@qualitycompas.ro,www.qualitycompas.ro,AGA - QUALITY COMPAS,-,Categoria V Decizie de prelungire a procesului de acreditare,,,
516,517,S.C. CENTRUL MEDICAL TOMMED S.R.L.,B118,Dolj,Neclasificat,general,privat,fara invatamant,"BVD. CAROL I, NR.107, CRAIOVA, DOLJ",pol.tommed@gmail.com,www.centrulmedicaltommed.ro,S.C. CENTRUL MEDICAL TOMMED S.R.L.,-,Categoria II Acreditat cu recomandari,,,
517,518,S.C. CENTRUL DE EXCELENTA IN RINOLOGIE S.R.L.,B119,Dolj,Neclasificat,specialitate,privat,fara invatamant,"STRADA TOPORA?I NR. 51, BLOC C2,PARTER",contact@rinologiecraiova.ro,www.rinologiecraiova.ro,S.C. CENTRUL DE EXCELENTa iN RINOLOGIE S.R.L.,-,Categoria II Acreditat cu recomandari,,,
518,519,CARDIOMED SRL - CENTRU MEDICAL,B121,Dolj,Neclasificat,specialitate,privat,fara invatamant,"Bd. Bulevardul Nicolae Titulescu, Nr. 50, Bl. E3, Sc. 1, Ap. 2, Craiova",office@cardiom.ro,cardiom.ro,SC CARDIOMED SRL,-,Categoria II Acreditat cu recomandari,,,
519,520,SOCIETATEA A&C MEDICAL PRIME SRL,B122,Dolj,Neclasificat,specialitate,privat,fara invatamant,"Str. Nanterre, nr.15, bl.C7, sc.3, apt.14, Craiova",office@primaclinic.ro,www.primaclinic.ro,SC A&C Medical Prime SRL,-,Categoria II Acreditat cu recomandari,,,
520,521,SOCIETATEA ECOGRAFIE 3D SRL,B123,Dolj,Neclasificat,general,privat,fara invatamant,"Bld Nicolae Titulescu, nr 52",cmcamen@camen.ro,www.camen.ro,SC ECOGRAFIE 3D SRL,-,Categoria II Acreditat cu recomandari,,,
521,522,SOCIETATEA MECCLINIC SRL,B124,Dolj,Neclasificat,general,privat,fara invatamant,"STR. IMPARATUL TRAIAN, NR. 93, PARTER, ETAJ 1",mecclinic@gmail.com,http://www.mecclinic.ro/,SC MECCLINIC SRL,-,Categoria II Acreditat cu recomandari,,,
522,523,SOCIETATEA SERVICII PALIATIVE SRL,B126,Suceava,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"nr. 307, Sat Ilisesti, Com. Ilisesti, Jud. Suceava",spitalulilisesti@gmail.com,www.spitalulilisesti.ro,SC SERVICII PALIATIVE SRL,-,Categoria II Acreditat cu recomandari,,,
523,524,SOCIETATEA HOSPITAL NETWORK PHOENIX ONE DAY SRL,B128,Olt,Neclasificat,specialitate,privat,fara invatamant,"str. Primaverii, nr. 6A",PHXOLT@GMAIL.COM,WWW.PHOENIX-HOSPITAL.RO,SC HOSPITAL NETWORK PHOENIX ONE DAY SRL,-,Categoria III Acreditat cu rezerve,,,
524,525,SOCIETATEA SARA CLINIC RECOVERY SRL,B131,Satu Mare,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"CALEA BUCURESTI NR. 4 - 6,BL.M3,ET.1 CRAIOVA DOLJ",centrul.sara@gmail.com,www.centrul-sara.ro,privat,-,Categoria II Acreditat cu recomandari,,,
525,526,SOCIETATEA ACTAMEDICA SRL - STRUCTURA SPITALIZARE DE ZI,B132,Mures,Neclasificat,specialitate,privat,fara invatamant,STR VERII NR.46,nicolau_lotus@yahoo.com,www.lotuslife.ro,SC ACTAMEDICA SRL,-,Unitate aflata in proces de acreditare,,,
526,527,INSTITUTUL DE URGENTA PENTRU BOLI CARDIOVASCULARE ?I TRANSPLANT TARGU MURE?,B134,Mures,I M,specialitate,public,institut,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",office@cardio.ro,http://ibcvt.ro/,Ministerul Sanatatii,-,Categoria IV Acreditat cu incredere redusa,,,
527,528,SOCIETATEA EIFFELMED SRL,B135,Dolj,V,specialitate,privat,fara invatamant,"STR. CONSTANTIN BRANCUSI NR 8, CRAIOVA, DOLJ",alexxandra.preda@yahoo.com,www.maternitateamadonna.ro,SC EIFFELMED SRL,-,Categoria II Acreditat cu recomandari,,,
528,529,S.C. OPEN MEDICAL S.R.L.- CENTRU MEDICAL CU SPITALIZARE DE ZI SI AMBULATORIU DE SPECIALITATE,B136,Dolj,Neclasificat,specialitate,privat,fara invatamant,CALEA UNIRII NR. 91,adina.zamfira@openmed.ro,www.openmed.ro,SC OPENMEDICAL SRL,-,Categoria III Acreditat cu rezerve,,,
529,530,CENTRUL MEDICAL DE INGRIJIRI PALEATIVE SF. ELENA S.R.L.,B137,Dolj,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Strada Eugeniu Carada nr. 18, Craiova",paliatie@yahoo.com,centruldepaliatie.ro,A.G.A.,-,Categoria II Acreditat cu recomandari,,,
530,531,SOCIETATEA MATERNA S.R.L.,B138,Vrancea,V,specialitate,privat,fara invatamant,"Focsani,str. Bucegi,nr.8,ap.1",clinica_materna_2006@yahoo.com,www.clinicamaterna.ro,SC MATERNA SRL,-,Categoria II Acreditat cu recomandari,,,
531,532,ASOCIATIA SFANTUL NECTARIE CLUJ,B139,Cluj,V,specialitate,privat,fara invatamant,"Piata Avram Iancu, nr. 18",hospicecluj@yahoo.com,http://centrulpaliativsfantulnectarie.ro/,ASOCIAtIA �SFaNTUL NECTARIE� CLUJ,-,Categoria VI Neacreditat,,,
532,533,SOCIETATEA CONSULTMED SRL,B140,Iasi,Neclasificat,specialitate,privat,fara invatamant,nu e cazul,consultmediasi@yahoo.com,www.consultmed.ro,privat,-,Categoria II Acreditat cu recomandari,,,
533,534,POLARIS MEDICAL S.A.,B141,Cluj,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Suceagu, nr.323T, comuna Baciu, judetul Cluj",office@polarismedical.ro,www.polarismedical.ro,Actionariat privat,-,Categoria II Acreditat cu recomandari,,,
534,535,SOCIETATEA PHOENIX PRIVATE HOSPITAL SRL,B142,Gorj,Neclasificat,specialitate,privat,fara invatamant,"str Victoriei, nr. 142, Tirgu Jiu, jud. Gorj",PHXGORJ@GMAIL.COM,WWW.PHOENIX-HOSPITAL.RO,Phoenix Private Hospital SRL,-,Categoria II Acreditat cu recomandari,,,
535,536,SOCIETATEA CENTRUL MEDICAL CATALINA SRL,B143,Maramures,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,Coltau nr 1/L Maramures,centrulmedicalcatalina@yahoo.com,https://centrulmedicalcatalina.ro,AGA,-,Categoria II Acreditat cu recomandari,,,
536,537,CENTRU MEDICAL SPERANTA PENTRU VIATA SRL,B144,Arad,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,INEU STR.G.COSBUC NR.104,paliativeineu@gmail.com,www.sperantaptviata.ro,CENTRU MEDICAL SPERANTA PENTRU VIATA SRL,-,Categoria II Acreditat cu recomandari,,,
537,538,CENTRUL DE SANATATE MULTIFUNCTIONAL BRATCA,B145,Bihor,Neclasificat,general,public,fara invatamant,Str. Principala nr. 126,csmbratca@yahoo.com,www.spitalbratca.ro,PRIMaRIA COMUNEI BRATCA,-,Categoria II Acreditat cu recomandari,,,
538,539,PROARTMED MEDICAL CENTER SRL,B146,Prahova,Neclasificat,specialitate,privat,fara invatamant,"Comuna Paulesti, sat Paulestii Noi nr.179, C16",office@clinicaroua.ro,www.clinicaroua.ro,PROARTMED MEDICAL CENTER SRL,-,Unitate aflata in proces de acreditare,,,
539,540,S.C. M-PROFILAXIS S.R.L.,B147,Timis,Neclasificat,specialitate,privat,fara invatamant,"Strada Vaselor, nr.31, Sector 2, Bucuresti",spitalzi@profilaxis.ro,www.profilaxis.ro,Scoala nationala de sanatate publica si managemnet sanitar,-,Categoria II Acreditat cu recomandari,,,
540,541,SOCIETATEA VENETIA MEDICAL SRL- SPITAL DE RECUPERARE SI BOLI CRONICE BRAILA,B148,Braila,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,str. Mihai Bravu 50 Braila,medicalvenetia@gmail.com,www.complexmedical-venetia.ro,SC Venetia Medical SRL,-,Unitate aflata in proces de acreditare,,,
541,542,S.C. ONCOPREMIUM-TEAM S.R.L.,B149,Maramures,Neclasificat,specialitate,privat,fara invatamant,STR.PROGRESULUI NR.5,oncopremiumteam@gmail.com,http://www.oncopremiumteam.ro/,SC ONCOPREMIUM-TEAM SEL,-,Categoria II Acreditat cu recomandari,,,
542,543,SOCIETATEA ONIOPTIC MEDICAL PD SRL,B152,Dolj,V,specialitate,privat,fara invatamant,"CRAIOVA, BULEVARDUL NICOLAE TITULESCU, NR. 2",onixonioptic@yahoo.com,www.onioptic.ro,SC ONIOPTIC MEDICAL PD SRL,-,Categoria II Acreditat cu recomandari,,,
543,544,SOCIETATEA MEDICAL CENTER GRAL SRL,B154,Prahova,Neclasificat,specialitate,privat,fara invatamant,"PLOIEsTI, STR. CUZA VODa, NR. 6 BL. A8 PARTER sI SUBSOL, JUD. PRAHOVA",office.ploiesti@gralmedical.ro,http://www.gralmedical.ro/OncoFort-Ploiesti-MCG,SC MEDICAL CENTER GRAL SRL,-,Categoria VI Neacreditat,,,
544,545,SOCIETATEA CIVICA MED SRL,B155,Constanta,Neclasificat,specialitate,privat,fara invatamant,"B-DUL IC BRATIANU NR 78, Constanta",office@clinicaman.ro,www.clinicaman.ro,CIVICA MED SRL,-,Categoria II Acreditat cu recomandari,,,
545,546,SPITALUL ORA?ENESC HIRLAU,B156,Iasi,IV,general,public,fara invatamant,Str. Musatini nr. 1,soh@spitaluloraseneschirlau.ro,spitaluloraseneschirlau.info,Consiliul local al Orasului Harlau,-,Categoria VI Neacreditat,,,
546,547,PREVENTORIUL TBC COPII DELENI,B157,Iasi,V,afectiuni cronice,public,fara invatamant,"SAT DELENI, COM. DELENI, JUD. IASI",tbcdeleni2015@yahoo.com,http://dspiasi.ro/microsite/preventoriul-tbc-copii-deleni/,Primaria Comunei Deleni,-,Unitate aflata in proces de acreditare,,,
547,548,CENTRUL DE DIAGNOSTIC SI TRATAMENT PROVITA SRL,B158,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Str. Agricultori nr. 82, sector 2",office@centrul-provita.ro,www.centrul-provita.ro,SC Centrul de Diagnostic sii Tratament Provita SRL,-,Unitate aflata in proces de acreditare,,,
548,549,S.C. ALPHA MEDICAL INVEST S.R.L.,B160,Calarasi,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"ARGESULUI 123, OLTENITA, CALARASI",OFFICE@ALPHACLINIC.RO,WWW.ALPHACLINIC.RO,S.C. ALPHA MEDICAL INVEST S.R.L.,-,Unitate aflata in proces de acreditare,,,
549,550,SPITAL AS MEDICA SRL,B161,Prahova,V,specialitate,privat,fara invatamant,"SAT BUCOV, COMUNA BUCOV, Str. EROILOR nr 4, CLaDIREA C2, ETAJ",office@as-medica.ro,http://as-medica.ro/,SPITAL AS MEDICA SRL,-,Unitate aflata in proces de acreditare,,,
550,551,S.C. POLICLINICA DARIMEDIC S.R.L.,B162,Timis,Neclasificat,specialitate,privat,fara invatamant,"Jud. Timis, Str. Tineretului nr. 64, SINANDREI",darimedicpoliclinica@gmail.com,darimedic.ro,POLICLINICA DARIMEDIC SRL,-,Unitate aflata in proces de acreditare,,,
551,552,SOCIETATEA RECHINUL IMPEX SRL,B163,Cluj,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,Cluj,receptie.eurosanclinic@yahoo.com,www.eurosanclinic.ro,persoana fizica Marghitas Florin,-,Categoria III Acreditat cu rezerve,,,
552,553,SOCIETATEA CIN MED SRL,B165,Bacau,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Bulevardul Anastasie Panu, nr. 28",ciprianneacsuu@yahoo.com,www.romedic.ro/cmi-dr-neacsu-ciprian-iulian,privat,-,Unitate aflata in proces de acreditare,,,
553,554,ASOCIATIA CENTRUL DE INGRIJIRE CASA SUTER - UNITATE SANITARA CU PATURI - INGRIJIRI PALEATIVE,B167,Bucuresti,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,aleea suter nr 3,casasuter@gmail.com,www.casasuter.freewb.ro,asociatia centrul de ingrijire casa suter,-,Unitate aflata in proces de acreditare,,,
554,555,S.C. OPHTA MAX S.R.L.,B168,Prahova,Neclasificat,specialitate,privat,fara invatamant,"Str. Verbinelor, nr. 71-73, sector 1, Bucuresti",office@ophtamax.ro,www.ophtamax.ro,S.C. OPHTA MAX S.R.L.,-,Categoria II Acreditat cu recomandari,,,
555,556,S.C. PRORENAL S.R.L. - CLINICA MEDICALA,B169,Bacau,Neclasificat,specialitate,privat,fara invatamant,"Bacau, str Vasile Alecsandri, nr 45",prorenalrosuleonardprorenal@outlook.com,https://ro-ro.facebook.com/Prorenal29/posts,Directia de Sanatate Publica,-,Categoria V Decizie de prelungire a procesului de acreditare,,,
556,557,SOCIETATEA CENTRUL MEDICAL SAMA S.A.,B170,Dolj,II,general,privat,fara invatamant,"Craiova, Strada infratirii, nr. 5A, judetul Dolj",agogescu@medlife.ro,www.medlife.ro,SC CENTRUL MEDICAL SAMA S.A.,-,Categoria II Acreditat cu recomandari,,,
557,558,SOCIETATEA CLINIC GROUP SRL,B171,Bacau,Neclasificat,general,privat,fara invatamant,"STR.RAZBOIENI NR.7, BACAU",clinic.group@yahoo.ro,www.clinicgroup.ro,SC CLINIC GROUP SRL,-,Categoria II Acreditat cu recomandari,,,
558,559,SOCIETATEA DR. IANOSI SRL,B173,Dolj,Neclasificat,general,privat,fara invatamant,"Strada Caracal,nr. 28,Bloc camera 4, Craiova, jud. Dolj",office@drianosi.ro,www.drianosi.ro,SC DR. IANOSI SRL,-,Categoria II Acreditat cu recomandari,,,
559,560,S.C. CLINICA MEDICALA SF. ANDREI S.R.L.,B175,Neamt,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"PIATRA NEAMT, STR. MIHAI VITEAZU NR.56",clinica_sfantulandrei@yahoo.com,www.clinicasfandrei.ro,SOCIETATE PRIVATA,-,Categoria II Acreditat cu recomandari,,,
560,561,S.C. MUNTEANU S.R.L.,B176,Bacau,Neclasificat,specialitate,privat,fara invatamant,TARGU OCNA STR. C.NEGRI BL.G7 SC.A AP.3,slanicmoldova@yahoo.com,munteanu.1991@yahoo.com,SC MUNTEANU SRL,-,Unitate aflata in proces de acreditare,,,
561,562,SOCIETATEA CENTRU MEDICAL SC ENDO-ATROSCOPIA SRL,B178,Mures,Neclasificat,specialitate,privat,fara invatamant,"STR.REVOLUTIE NR 27, TG. MURES, MURES",simonatibi@gmail.com,FACEBOOK,BATAGA CRISTINA SIMONA,-,Unitate aflata in proces de acreditare,,,
562,563,AQUA-MED CONSULTING SRL,B179,Constanta,Neclasificat,specialitate,privat,fara invatamant,B-DUL TOMIS NR 142A,SPITAL@AQUACLINIC.RO,WWW.AQUACLINIC.RO,AQUA-MED CONSULTING SRL,-,Categoria III Acreditat cu rezerve,,,
563,564,S.C. ROM GESTA S.R.L.,B180,Constanta,Neclasificat,specialitate,privat,fara invatamant,"STR STEFAN CEL MARE NR. 2 , MANAGALIA",axa11@ymail.com,www.romgesta.eu,sc rom gesta srl,-,Categoria II Acreditat cu recomandari,,,
564,565,THEO'S MEDICAL CLINIC,B181,Neamt,Neclasificat,general,privat,fara invatamant,"Roman, str. Elena Doamna nr 1",sfnectarie@yahoo.com,www.clinicasfnectarie.ro,SC Theo's Medical Clinic SRL,-,Unitate aflata in proces de acreditare,,,
